age,sex,location_x,location_y,sports
29,f,-77.69475183845593,81.14633234858161,"['Cross country running', 'Kayaking', 'Softball', 'Olympic weightlifting', 'Rugby']"
37,m,-76.11570398668002,-152.95553080491294,"['Squash', 'Tennis', 'Badminton']"
11,m,-45.07679460733157,66.53131960420515,"['Downhill skiing', 'Soccer', 'Badminton', 'Softball', 'Basketball']"
11,f,44.84574390601156,-167.37478833668908,"['Swimming', 'Bowling', 'Cross country running', 'Equestrian mounted games']"
14,m,22.29294320890679,-85.04277306316129,[]
90,f,-0.37065467912562156,114.16398164088997,"['Equestrian mounted games', 'Cycling', 'Tennis', 'Curling']"
4,m,40.85343278099813,141.5442277682414,"['Cross country running', 'Rugby', 'Ball hockey']"
13,m,-33.57207134708655,-36.912304814967996,['Bowling']
59,m,74.56806877770507,112.38359282492428,"['Olympic weightlifting', 'Tennis', 'Basketball']"
47,m,-65.07023168906818,41.17032733803805,"['Tennis', 'Ice hockey', 'Golf']"
38,m,-64.90209825190087,-122.48925692103366,['Badminton']
89,m,33.35649560651305,58.60206324560596,"['Squash', 'Soccer']"
71,f,-80.1724657075604,1.1782175683460139,"['Martial arts', 'Cross country running', 'Baseball', 'Soccer', 'Ice hockey']"
96,m,39.3576729641413,-119.67197638209308,"['Golf', 'Olympic weightlifting', 'Swimming', 'Rugby']"
27,m,71.93689851427044,108.97810856076558,['Squash']
31,f,-53.62017480629717,-2.26885787388224,"['Martial arts', 'Tennis', 'Baseball', 'Cross country running']"
88,f,-33.16158365129889,-86.02399406764216,"['Martial arts', 'Curling']"
61,m,68.20511274389747,-100.13433142463182,"['Baseball', 'Golf']"
99,m,-0.8810218362133071,-160.54179045762606,"['Downhill skiing', 'Badminton']"
31,f,32.135861615395896,-106.6841467637633,"['Olympic weightlifting', 'Cycling', 'Golf']"
84,m,-13.489255818436732,160.5006968474185,"['Cycling', 'Rugby', 'Curling']"
66,f,-71.225865853487,151.6736335627587,"['Cycling', 'Equestrian mounted games', 'Rugby']"
99,f,-78.9416800423275,27.55893930886137,[]
80,m,-7.153126452325623,12.949913897755863,"['Softball', 'Equestrian mounted games', 'Kayaking', 'Swimming', 'Martial arts']"
88,f,-67.1967702493373,-0.054483098411822084,"['Squash', 'Cycling', 'Badminton']"
8,f,28.04987907838604,-49.258805513471714,"['Baseball', 'Cycling', 'Tennis', 'Soccer', 'Kayaking']"
19,m,-6.158714171261977,96.17398698784484,['Golf']
11,f,59.43299665459631,179.76498665346128,"['Tennis', 'Curling']"
42,f,56.84616865280313,-121.5339925280983,"['Rugby', 'Baseball']"
55,f,10.023176632108829,-105.5229885371983,"['Bowling', 'Olympic weightlifting', 'Volleyball', 'Ice hockey']"
11,f,-39.47999129264729,-45.384592118871126,"['Downhill skiing', 'Cross country running']"
98,m,68.56077518691532,119.70976673422496,['Basketball']
99,m,-74.19609142546608,84.80883362693834,"['Squash', 'Bowling', 'Kayaking', 'Downhill skiing']"
46,m,13.843573679687054,-8.202363491915975,"['Equestrian mounted games', 'Swimming', 'Football', 'Bowling', 'Volleyball']"
4,m,48.410743601892705,-95.37368538732557,"['Baseball', 'Ice hockey', 'Tennis', 'Squash']"
62,f,71.62292706623145,105.4572927021187,['Olympic weightlifting']
54,f,-71.47846476139823,-125.98558365676618,[]
18,f,-63.13128766960354,-32.75149954595162,"['Squash', 'Ball hockey', 'Curling']"
60,f,50.38307110283009,62.19660562680764,"['Downhill skiing', 'Basketball', 'Tennis']"
96,m,-87.72326222480825,-10.952194752674671,"['Martial arts', 'Basketball', 'Swimming']"
44,f,-24.579483064792242,-10.295826360982772,"['Volleyball', 'Ice hockey', 'Swimming', 'Rugby', 'Baseball']"
24,f,76.99239463602103,-121.92374067139544,['Ball hockey']
7,m,40.09053782887574,65.29436562240627,"['Bowling', 'Downhill skiing', 'Soccer']"
25,m,11.308304420478507,-51.42053102475205,"['Downhill skiing', 'Basketball', 'Martial arts', 'Ball hockey', 'Football']"
1,m,80.95876439795194,144.2455853480103,['Squash']
27,f,19.892690969369255,-71.08808532722864,['Martial arts']
94,m,54.70212278795216,-101.92959840128542,"['Basketball', 'Olympic weightlifting', 'Cross country running', 'Ball hockey', 'Cycling']"
